0.3003043 0 0 1 1 1 1 1
0.1910435 0 0 0 0 1 1 1
0.1473623 0 0 0 0 1 0 1
0.1356232 0 0 0 1 1 1 1
0.04330435 0 0 1 1 1 1 0
0.04127536 0 0 1 1 1 0 1
0.02857971 0 0 1 0 1 1 1
0.02768116 0 0 0 1 1 0 1
0.0212029 0 0 0 1 1 1 0
0.01489855 0 0 0 0 1 1 0
0.009449275 0 0 1 0 1 0 1
0.007898551 0 0 1 1 0 1 1
0.007014493 0 0 0 0 1 0 0
0.006289855 0 0 0 0 0 1 1
0.004681159 0 0 1 0 1 1 0
0.003449275 0 0 1 1 1 0 0
0.002898551 0 0 0 1 1 0 0
0.001942029 0 0 0 0 0 0 1
0.001724638 0 0 0 1 0 1 1
0.0009855072 0 0 1 0 0 1 1
0.0006086957 0 0 1 1 0 0 1
0.0005797101 0 0 1 1 0 1 0
0.0003768116 0 0 1 0 1 0 0
0.0003768116 0 0 0 1 0 0 1
0.0001884058 0 0 0 1 0 1 0
0.000173913 0 0 0 1 0 0 0
4.347826e-05 0 0 0 0 0 1 0
2.898551e-05 0 0 1 0 0 1 0
1.449275e-05 0 0 1 0 0 0 1
